,District,cat owners,dog_owners,Life Satisfaction,Happiness,Anxiety,Worthwhile
0,Scotland,216000,409284.5956399483,7.5135484,7.4403224,3.0335484,7.7525806
1,Wales,168000,339819.605184234,7.5113635,7.4604545,3.1486363,7.765909
2,East of England,348000,428775.5208154635,7.6482224,7.5326667,3.0168889,7.852889
3,East Midlands,243000,187869.923103616,7.594706,7.4976473,3.0755882,7.8461766
4,Greater London,406000,255179.93659494777,7.4525,7.3646874,3.2846875,7.6775
5,North East England,57000,195261.7113486,7.4775,7.378333,3.1025,7.7116666
6,North West England,288000,478486.04280581954,7.55,7.49225,3.0775,7.77575
7,South East England,350000,491240.273384404,7.612581,7.492742,3.1559677,7.851129
8,South West England,234000,534429.9849058941,7.6013794,7.5327587,2.9717243,7.7724137
9,West Midlands,260000,342016.62585224747,7.5383334,7.457667,3.0376666,7.7656665
10,Yorkshire and Humberside,176000,309475.619197904,7.582,7.519,3.0925,7.7975
