,District,cat owners,dog_owners
0,Scotland,216000,409284.5956399483
1,Wales,168000,339819.605184234
2,East of England,348000,428775.5208154635
3,East Midlands,243000,187869.923103616
4,Greater London,406000,255179.93659494777
5,North East England,57000,195261.7113486
6,North West England,288000,478486.04280581954
7,South East England,350000,491240.273384404
8,South West England,234000,534429.9849058941
9,West Midlands,260000,342016.62585224747
10,Yorkshire and Humberside,176000,309475.619197904
