District,Life Satisfaction,Happiness,Anxiety,Worthwhile
East Midlands,7.594706,7.4976473,3.0755882,7.8461766
East of England,7.6482224,7.5326667,3.0168889,7.852889
Greater London,7.4525,7.3646874,3.2846875,7.6775
North East England,7.4775,7.378333,3.1025,7.7116666
North West England,7.55,7.49225,3.0775,7.77575
Northern Ireland,7.728182,7.656364,2.8063636,7.9972725
Scotland,7.5135484,7.4403224,3.0335484,7.7525806
South East England,7.612581,7.492742,3.1559677,7.851129
South West England,7.6013794,7.5327587,2.9717243,7.7724137
Wales,7.5113635,7.4604545,3.1486363,7.765909
West Midlands,7.5383334,7.457667,3.0376666,7.7656665
Yorkshire and Humberside,7.582,7.519,3.0925,7.7975
